stage_id,stage_name,kind,source_path,size_bytes,sha256,recommended_hf_repo,recommended_hf_path,hf_url,status,reason
06,KnowledgeGraph,cache,KnowledgeGraph/enrichr_cache.json,174971104,bf3ec66879f9f7eadc1e34044030490383fba6ee5615518510158ef8c1cf1a07,OWNER/GoldenF-data,KnowledgeGraph/enrichr_cache.json,,pending,Enrichr pathway/disease annotations cache required by kg_cluster_metrics.py; avoids slow fragile re-fetch from external API
06,KnowledgeGraph,cache,KnowledgeGraph/gene_members_cache.json,68398372,6e75a2bf80afab53436549fca8a2cab1faccfe472a0dacf00d3d75991f704c0e,OWNER/GoldenF-data,KnowledgeGraph/gene_members_cache.json,,pending,PAGER gene membership data cache required by kg_cluster_metrics.py; avoids slow fragile re-fetch from external API
06,KnowledgeGraph,cache,KnowledgeGraph/pathway_cache.json,48448230,57795bd67e1abea19152afdb7710723e3d7b11d503d3aacb8efabdeb273abb6a,OWNER/GoldenF-data,KnowledgeGraph/pathway_cache.json,,pending,Reactome pathway cache required by kg_cluster_metrics.py; avoids slow fragile re-fetch from external API
06,KnowledgeGraph,result,KnowledgeGraph/cluster_metrics_out/edges_A0.csv,450598973,,OWNER/GoldenF-data,KnowledgeGraph/cluster_metrics_out/edges_A0.csv,,pending,Large pre-computed edge list for cluster group A0; KG construction takes hours to regenerate
06,KnowledgeGraph,result,KnowledgeGraph/cluster_metrics_out/edges_A1.csv,335564166,,OWNER/GoldenF-data,KnowledgeGraph/cluster_metrics_out/edges_A1.csv,,pending,Large pre-computed edge list for cluster group A1; KG construction takes hours to regenerate
06,KnowledgeGraph,result,KnowledgeGraph/cluster_metrics_out/edges_A2.csv,55733509,,OWNER/GoldenF-data,KnowledgeGraph/cluster_metrics_out/edges_A2.csv,,pending,Pre-computed edge list for cluster group A2; KG construction takes hours to regenerate
06,KnowledgeGraph,result,KnowledgeGraph/cluster_metrics_out/edges_A3.csv,472529900,,OWNER/GoldenF-data,KnowledgeGraph/cluster_metrics_out/edges_A3.csv,,pending,Large pre-computed edge list for cluster group A3; KG construction takes hours to regenerate
06,KnowledgeGraph,result,KnowledgeGraph/cluster_metrics_out/edges_A4.csv,208132660,,OWNER/GoldenF-data,KnowledgeGraph/cluster_metrics_out/edges_A4.csv,,pending,Pre-computed edge list for cluster group A4; KG construction takes hours to regenerate
06,KnowledgeGraph,result,KnowledgeGraph/cluster_metrics_out/edges_A5.csv,250142268,,OWNER/GoldenF-data,KnowledgeGraph/cluster_metrics_out/edges_A5.csv,,pending,Pre-computed edge list for cluster group A5; KG construction takes hours to regenerate
06,KnowledgeGraph,result,KnowledgeGraph/cluster_metrics_out/edges_A6.csv,353437747,,OWNER/GoldenF-data,KnowledgeGraph/cluster_metrics_out/edges_A6.csv,,pending,Large pre-computed edge list for cluster group A6; KG construction takes hours to regenerate
06,KnowledgeGraph,result,KnowledgeGraph/cluster_metrics_out/edges_A7.csv,181952328,,OWNER/GoldenF-data,KnowledgeGraph/cluster_metrics_out/edges_A7.csv,,pending,Pre-computed edge list for cluster group A7; KG construction takes hours to regenerate
06,KnowledgeGraph,result,KnowledgeGraph/cluster_metrics_out/edges_A8.csv,86218257,,OWNER/GoldenF-data,KnowledgeGraph/cluster_metrics_out/edges_A8.csv,,pending,Pre-computed edge list for cluster group A8; KG construction takes hours to regenerate
06,KnowledgeGraph,result,KnowledgeGraph/cluster_metrics_out/edges_A9.csv,587528528,,OWNER/GoldenF-data,KnowledgeGraph/cluster_metrics_out/edges_A9.csv,,pending,Large pre-computed edge list for cluster group A9; KG construction takes hours to regenerate
06,KnowledgeGraph,result,KnowledgeGraph/cluster_metrics_out/edges_B0.csv,432652469,,OWNER/GoldenF-data,KnowledgeGraph/cluster_metrics_out/edges_B0.csv,,pending,Large pre-computed edge list for cluster group B0; KG construction takes hours to regenerate
06,KnowledgeGraph,result,KnowledgeGraph/cluster_metrics_out/edges_B1.csv,71773003,,OWNER/GoldenF-data,KnowledgeGraph/cluster_metrics_out/edges_B1.csv,,pending,Pre-computed edge list for cluster group B1; KG construction takes hours to regenerate
06,KnowledgeGraph,result,KnowledgeGraph/cluster_metrics_out/edges_B2.csv,539839241,,OWNER/GoldenF-data,KnowledgeGraph/cluster_metrics_out/edges_B2.csv,,pending,Large pre-computed edge list for cluster group B2; KG construction takes hours to regenerate
06,KnowledgeGraph,result,KnowledgeGraph/cluster_metrics_out/edges_B3.csv,1235154940,,OWNER/GoldenF-data,KnowledgeGraph/cluster_metrics_out/edges_B3.csv,,pending,Very large pre-computed edge list for cluster group B3 (1.2 GB); KG construction takes hours to regenerate
06,KnowledgeGraph,result,KnowledgeGraph/cluster_metrics_out/edges_B4.csv,91961902,,OWNER/GoldenF-data,KnowledgeGraph/cluster_metrics_out/edges_B4.csv,,pending,Pre-computed edge list for cluster group B4; KG construction takes hours to regenerate
06,KnowledgeGraph,result,KnowledgeGraph/cluster_metrics_out/edges_B5.csv,215075287,,OWNER/GoldenF-data,KnowledgeGraph/cluster_metrics_out/edges_B5.csv,,pending,Pre-computed edge list for cluster group B5; KG construction takes hours to regenerate
06,KnowledgeGraph,result,KnowledgeGraph/cluster_metrics_out/edges_B6.csv,16497173,,OWNER/GoldenF-data,KnowledgeGraph/cluster_metrics_out/edges_B6.csv,,pending,Pre-computed edge list for cluster group B6; KG construction takes hours to regenerate
06,KnowledgeGraph,result,KnowledgeGraph/cluster_metrics_out/edges_B7.csv,1474999782,,OWNER/GoldenF-data,KnowledgeGraph/cluster_metrics_out/edges_B7.csv,,pending,Very large pre-computed edge list for cluster group B7 (1.4 GB); KG construction takes hours to regenerate
06,KnowledgeGraph,result,KnowledgeGraph/cluster_metrics_out/edges_B8.csv,235665,,OWNER/GoldenF-data,KnowledgeGraph/cluster_metrics_out/edges_B8.csv,,pending,Pre-computed edge list for cluster group B8; KG construction takes hours to regenerate
06,KnowledgeGraph,result,KnowledgeGraph/cluster_metrics_out/edges_B9.csv,128557744,,OWNER/GoldenF-data,KnowledgeGraph/cluster_metrics_out/edges_B9.csv,,pending,Pre-computed edge list for cluster group B9; KG construction takes hours to regenerate
06,KnowledgeGraph,result,KnowledgeGraph/cluster_metrics_out/vis_A0.html,209143487,,OWNER/GoldenF-data,KnowledgeGraph/cluster_metrics_out/vis_A0.html,,pending,Large interactive vis.js network graph for cluster group A0 (all edges embedded inline); not suitable for GitHub
06,KnowledgeGraph,result,KnowledgeGraph/cluster_metrics_out/vis_A1.html,191720890,,OWNER/GoldenF-data,KnowledgeGraph/cluster_metrics_out/vis_A1.html,,pending,Large interactive vis.js network graph for cluster group A1 (all edges embedded inline); not suitable for GitHub
06,KnowledgeGraph,result,KnowledgeGraph/cluster_metrics_out/vis_A2.html,51396405,,OWNER/GoldenF-data,KnowledgeGraph/cluster_metrics_out/vis_A2.html,,pending,Interactive vis.js network graph for cluster group A2 (all edges embedded inline); not suitable for GitHub
