stage_id,stage_name,kind,required,item_path,description,source_path,deliverable_path,status,reason,size_bytes,sha256
01,mtype Build,code,true,mtype.py,Core mtype similarity and hypergeometric computation script.,mtype.py,deliverables/stages/01_mtype/code/mtype.py,copied,,11888,6671721d9a2335a019e551a0eda9a90fb42c370a02a1b38b7ff910e819897bf3
01,mtype Build,doc,true,docs/gene_overlap_edge_methodology.md,Method write-up for overlap edges and significance filtering.,docs/gene_overlap_edge_methodology.md,deliverables/stages/01_mtype/doc/docs/gene_overlap_edge_methodology.md,copied,,9744,9d346332315677366dcba749a1c7c27a2cffe8ff677310de8c1b5a465660775b
01,mtype Build,result,true,data/geneset_extraction_080/edges_with_mtype.txt,Threshold-0.80 edge file with mtype-derived fields.,data/geneset_extraction_080/edges_with_mtype.txt,deliverables/stages/01_mtype/result/data/geneset_extraction_080/edges_with_mtype.txt,copied,,19251968,94dfc625cc080299047ab8e7cf3562a9392876fb2b349643690133139549b669
01,mtype Build,result,true,data/geneset_extraction_080/extraction_summary.json,Extraction summary statistics for threshold 0.80.,data/geneset_extraction_080/extraction_summary.json,deliverables/stages/01_mtype/result/data/geneset_extraction_080/extraction_summary.json,copied,,417,316a5b537acebb3801695c18d967906e1342704dab76db3316e1f768219dfaf0
01,mtype Build,result,true,data/geneset_extraction_085/edges.csv,Threshold-0.85 extracted edge table.,data/geneset_extraction_085/edges.csv,deliverables/stages/01_mtype/result/data/geneset_extraction_085/edges.csv,copied,,446169,d43074b39d22445034d56c67e33a7df31bf5a9514468f32105f1c79d30607b2d
01,mtype Build,result,true,data/geneset_extraction_085/extraction_summary.json,Extraction summary statistics for threshold 0.85.,data/geneset_extraction_085/extraction_summary.json,deliverables/stages/01_mtype/result/data/geneset_extraction_085/extraction_summary.json,copied,,410,286106ebd672806e4b5c48fc3a09722bf6a3ea16a99ec3aa29fbcdc26307a30f
01,mtype Build,result,true,data/geneset_extraction_090/edges.csv,Threshold-0.90 extracted edge table.,data/geneset_extraction_090/edges.csv,deliverables/stages/01_mtype/result/data/geneset_extraction_090/edges.csv,copied,,149738,4e89c91c3763c242b1227c2ce095a29a9b00267380de1cd115573b3c5d212bfa
01,mtype Build,result,true,data/geneset_extraction_090/extraction_summary.json,Extraction summary statistics for threshold 0.90.,data/geneset_extraction_090/extraction_summary.json,deliverables/stages/01_mtype/result/data/geneset_extraction_090/extraction_summary.json,copied,,410,cb060621cb7bfffe7f39df4a0abc5f5f798a2dab2a03cf012baa3f6f1eac695b
02,GNN (Text),code,true,work_alpha_gnn_20260212/scripts/evaluate_single_embedding.py,Internal clustering metric evaluation for a single embedding.,work_alpha_gnn_20260212/scripts/evaluate_single_embedding.py,deliverables/stages/02_gnn_text/code/work_alpha_gnn_20260212/scripts/evaluate_single_embedding.py,copied,,5956,2fceb1db9b93a92c68094fcc32ed31a725c62dce64334ae79b04a15901d90779
02,GNN (Text),code,true,work_alpha_gnn_20260212/scripts/gnn_linkpred_holdout.py,Holdout link-prediction training and embedding export.,work_alpha_gnn_20260212/scripts/gnn_linkpred_holdout.py,deliverables/stages/02_gnn_text/code/work_alpha_gnn_20260212/scripts/gnn_linkpred_holdout.py,copied,,19580,6cf59f57e5e9916020c1c6e2a11741babf9922acfcbc79e50d39d85d38a471bf
