threshold,cluster,dedup_rank,term_id,term_name,term_description,q_value,p_value,enrichment_ratio,k_overlap,cluster_genes,representative_group_size
080,0,1,GEX003060,"GSE226525,GSE226527-0-vs-8-human dn","Dn genes comparing Group 0 vs Group 8 (GSE226527, human)",5.60326694372808e-172,8.831991708016018e-176,1.2187881578157216,2000,49957,1
080,0,2,GEX015081,GSE247506-5-vs-4-human up,"Up genes in vein blood con peripheral mononuclear cell group control vs vein blood crao peripheral mononuclear cell group v (GSE247506, human)",5.60326694372808e-172,8.831991708016018e-176,1.2187881578157216,2000,49957,1
080,0,3,GEX026581,GSE160542-4-vs-3-human dn,"Dn genes in ctrl 4h cell line bci ns1.1 culture air liquid interphase day 26 untreated bronchus vs ho53 24h cell line bci ns1.1 culture air liquid interphase day 26 75 um bronchus (GSE160542, human)",5.60326694372808e-172,8.831991708016018e-176,1.2187881578157216,2000,49957,1
080,0,4,GEX007633,GSE243230-4-vs-2-human dn,"Dn genes in mock 24h cell line t84 human colon carcinoma wt none vs ifnl 6h cell line t84 human colon carcinoma wt 100ng/ml infl1 3 (GSE243230, human)",5.60326694372808e-172,1.0844871089320831e-175,1.2187881578157216,1999,49957,1
080,0,5,GEX034005,GSE245059-3-vs-4-human dn,"Dn genes in ft cf epi 3d full thickness vitro model airway cell line hbe 115 primary human bronchial epithelial cells (provided culture facility ffc (istituto g. gaslini genova) cystic fibrosis epitelial f508del lhc/rpmi pneumacult vs hbe 3d full thickness vitro model airway cell line 115 primary human bronchial epithelial cells (provided culture facility ffc (istituto g. gaslini genova) cystic fibrosis epitelial f508del lhc/rpmi pneumacult (GSE245059, human)",5.60326694372808e-172,1.0844871089320831e-175,1.2187881578157216,1999,49957,1
080,1,1,GEX003060,"GSE226525,GSE226527-0-vs-8-human dn","Dn genes comparing Group 0 vs Group 8 (GSE226527, human)",6.1024071657360195e-52,1.0919076241156431e-54,1.0629713687150837,2000,57280,1
080,1,2,GEX010287,"GSE240896,GSE240899-5-vs-1-human dn","Dn genes comparing Group 5 vs Group 1 (GSE240899, human)",6.1024071657360195e-52,1.0919076241156431e-54,1.0629713687150837,2000,57280,1
080,1,3,GEX011322,GSE254479-5-vs-1-human dn,"Dn genes in mcf 10a cells egf c75 3h biol rep cell line breast epithelial wt 9h plus vs mcf 10a cells egf dmso 6h biol rep cell line breast epithelial wt 9h plus (GSE254479, human)",6.1024071657360195e-52,1.0919076241156431e-54,1.0629713687150837,2000,57280,1
080,1,4,GEX015081,GSE247506-5-vs-4-human up,"Up genes in vein blood con peripheral mononuclear cell group control vs vein blood crao peripheral mononuclear cell group v (GSE247506, human)",6.1024071657360195e-52,1.0919076241156431e-54,1.0629713687150837,2000,57280,1
080,1,5,GEX020735,"GSE188111,GSE188123-5-vs-3-human up","Up genes comparing Group 5 vs Group 3 (GSE188123, human)",6.1024071657360195e-52,1.0919076241156431e-54,1.0629713687150837,2000,57280,1
080,2,1,GEX003060,"GSE226525,GSE226527-0-vs-8-human dn","Dn genes comparing Group 0 vs Group 8 (GSE226527, human)",2.501961311484874e-273,9.520969386285786e-278,1.3671718872796677,2000,44535,1
080,2,2,GEX007633,GSE243230-4-vs-2-human dn,"Dn genes in mock 24h cell line t84 human colon carcinoma wt none vs ifnl 6h cell line t84 human colon carcinoma wt 100ng/ml infl1 3 (GSE243230, human)",2.501961311484874e-273,1.318109002302982e-277,1.367171887279668,1999,44535,1
080,2,3,GEX026976,GSE231200-0-vs-5-human dn,"Dn genes in zikv infected human microglial cells metformin administration 48 h replicate rnaseq [met48 cell line c20 infection+metformin time vs zikv infected human microglial cells metformin administration 16 h replicate rnaseq [met16 cell line c20 infection+metformin time (GSE231200, human)",2.501961311484874e-273,1.824814186158411e-277,1.3671718872796674,1998,44535,1
080,2,4,GEX001183,"GSE209632,GSE209820-3-vs-5-human dn","Dn genes comparing Group 3 vs Group 5 (GSE209820, human)",2.501961311484874e-273,2.5262896098281227e-277,1.3671718872796677,1997,44535,1
080,2,5,GEX012461,GSE229614-6-vs-1-human dn,"Dn genes in lnz308 72h brain cell line p53 del pten mut p16 wt p14arf azd6738 vs ln229 2h brain cell line p53 mut pten wt p16 del p14arf azd6738 (GSE229614, human)",2.501961311484874e-273,2.5262896098281227e-277,1.3671718872796677,1997,44535,1
080,3,1,GEX010287,"GSE240896,GSE240899-5-vs-1-human dn","Dn genes comparing Group 5 vs Group 1 (GSE240899, human)",3.119916950944936e-140,8.475416719652939e-144,1.1755835730697195,2000,51793,1
080,3,2,GEX015081,GSE247506-5-vs-4-human up,"Up genes in vein blood con peripheral mononuclear cell group control vs vein blood crao peripheral mononuclear cell group v (GSE247506, human)",3.119916950944936e-140,8.475416719652939e-144,1.1755835730697195,2000,51793,1
080,3,3,GEX021976,"GSE215187,GSE215188-0-vs-5-human up","Up genes comparing Group 0 vs Group 5 (GSE215188, human)",3.119916950944936e-140,8.475416719652939e-144,1.1755835730697195,2000,51793,1
080,3,4,GEX022390,"GSE246886,GSE246889-2-vs-4-human dn","Dn genes comparing Group 2 vs Group 4 (GSE246889, human)",3.119916950944936e-140,8.475416719652939e-144,1.1755835730697195,2000,51793,1
